about,brand,image,link,price,title
"24.3 MP full frame CMOS sensor,Tough and lightweight magnesium body,5-axis image stabilisation,4K video recording,Dual card slot",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175371422.jpg,https://www.jessops.com/p/Nikon/Z-5-Mirrorless-Camera-with-Nikkor-Z-24-70mm-f4-S-Lens-194836,"£1,449.00",Nikon Z 5 Mirrorless Camera with Nikkor Z 24-70mm f/4 S Lens
"Exclusive to Jessops,24.3-megapixel APS-C sensor,World's fastest AF,Wi-Fi/NFC functions,OLED Tru-Finder",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195292623.jpg,https://www.jessops.com/p/Sony/A6000-Mirrorless-Camera-in-Grey-with-16-50mm-Power-Zoom-Lens-109628,£499.00,Sony A6000 Mirrorless Camera in Grey with 16-50mm Power Zoom Lens
"New BIONZ X image Processor,24.3-megapixel APS-C sensor,World's fastest AF,Wi-Fi/NFC functions,OLED Tru-Finder",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195272168.jpg,https://www.jessops.com/p/Sony/A6000-Compact-System-Camera-in-Black--16-50mm--55-210-mm-Lenses-90346,£679.00,Sony A6000 Compact System Camera in Black + 16-50mm + 55-210 mm Lenses
"24.3 MP full frame CMOS sensor,Tough and lightweight magnesium body,5-axis image stabilisation,4K video recording,Dual card slot",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175366482.jpg,https://www.jessops.com/p/Nikon/Z-5-Mirrorless-Camera-Body-190536,"£1,079.00",Nikon Z 5 Mirrorless Camera Body
"Full Frame 30.3MP Dual Pixel Sensor,0.05 sec. high-speed autofocus,4K video,Superb weather-proofing,Refined ergonomics",Canon,https://i.jessops.com/ce-images/product/product_enlarged/acanocm185371789.jpg,https://www.jessops.com/p/Canon/EOS-R-Mirrorless-Camera-Body-195834,"£1,649.00",Canon EOS R Mirrorless Camera Body
"24.5 megapixel FX-format CMOS sensor,Dual Expeed 6 processor,4K/60P video recording,Dual card slots,Fully sealed magnesium alloy body",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175367526.jpg,https://www.jessops.com/p/Nikon/Z-6II-Mirrorless-Camera-with-Nikkor-24-70mm-f4-S-Lens-191382,"£2,289.00",Nikon Z 6II Mirrorless Camera with Nikkor 24-70mm f/4 S Lens
"45.7 megapixel FX-format CMOS sensor,Dual Expeed 6 processor,Dual card slots,4K/60P video recording,Fully sealed magnesium alloy body",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm175367530.jpg,https://www.jessops.com/p/Nikon/Z-7II-Mirrorless-Camera-with-Nikkor-24-70mm-f4-S-Lens-191386,"£3,199.00",Nikon Z 7II Mirrorless Camera with Nikkor 24-70mm f/4 S Lens
"Small and lightweight camera body,26.1 MP X-Trans CMOS 4 and X-Processor 4,4k/30p video recording,3-inch 180 degree Tilting LCD touchscreen,18 Film Simulation modes",Fujifilm,https://i.jessops.com/ce-images/product/product_enlarged/afujicm175370101.jpg,https://www.jessops.com/p/Fujifilm/X-E4-Mirrorless-Camera-in-Black-with-XF27mm-F2.8-R-WR-Lens-193626,£949.00,Fujifilm X-E4 Mirrorless Camera in Black with XF27mm F2.8 R WR Lens
"Great for photos and video,Super-fast 0.02 seconds AF,24.2 megapixel Exmor CMOS sensor,4K movie recording,180 degree tiltable LCD touch screen",Sony,https://i.jessops.com/ce-images/product/product_enlarged/asonycm195339432.jpg,https://www.jessops.com/p/Sony/a6400-Mirrorless-Camera-in-Black-with-16-50mm-Lens-167108,£999.00,Sony a6400 Mirrorless Camera in Black with 16-50mm Lens
"20.9 MP DX-format sensor,Nikon Z Mount,Hybrid-AF,  Silent operation,Up to 11 fps shooting,Large tilting touchscreen",Nikon,https://i.jessops.com/ce-images/product/product_enlarged/anikocm185355914.jpg,https://www.jessops.com/p/Nikon/Z-50-Mirrorless-Camera-with-DX-16-50mm-and-50-250mm-VR-Lenses-181199,"£1,079.00",Nikon Z 50 Mirrorless Camera with DX 16-50mm and 50-250mm VR Lenses
